"","id","name","popularity","followers.total","genres","type","total_num_songs","main_genre","degree","betweenness","eigenvector"
"3331","521qvhdobR0GzhvU6TFw76","Tritonal",63,213259,"edm;electro house;pop dance;pop edm;progressive electro house;progressive house;progressive trance;trance;tropical house;uplifting trance","non_billboard",NA,"edm, techno, house",8,18070.8727488026,0.00481336754703327
"3332","2Wpsydr0xZekaBFNQ0OSKd","Yunggoth✰",59,213183,"dark trap;emo rap;sad rap;underground hip hop","non_billboard",NA,"hip hop, rap",1,0,0.000483198443887901
"3333","6g10GEtmIVqIQBhPZh4ScQ","Zach Williams",63,213096,"ccm","billboard",27,"other/unknown",5,95977.9351376521,0.000389390839881166
"3334","28UDeKu2FPrU0T7dpUiSGY","Dexta Daps",59,212763,"dancehall;riddim","non_billboard",NA,"other/unknown",2,229.773557977683,0.00689373255110271
"3335","1zK4ACgLi1lVPpfmmcwOTh","DC Talk",51,212654,"ccm;christian alternative rock;christian music;worship","non_billboard",NA,"rock",2,203.939479617779,4.45473891832075e-05
"3336","6c0mTNAxJxlp9HpKTUZwA8","ALMA",62,212356,"dance pop;pop","non_billboard",NA,"pop",4,816.807747066914,0.016362504330781
"3337","1qUjOF5fzrpoNycD36b2jZ","Nate Ruess",68,212175,"modern rock","billboard",18,"rock",6,54353.6157150867,0.014656203097846
"3338","5PN2aHIvLEM98XIorsPMhE","Kim Carnes",63,212087,"mellow gold;new wave pop;soft rock","non_billboard",NA,"rock",4,4628.66587742448,0.000424574313737363
"3339","1CLPoZyoqBo2z444JtmBAF","Lito y Polaco",41,212050,"latin;latin hip hop;reggaeton;reggaeton flow;trap latino","non_billboard",NA,"latin",1,0,0.00208524829545882
"3340","3Rj0tDHoX7C5NFq5DKIpHt","Stereolab",54,212020,"alternative rock;art pop;art rock;chamber psych;electronica;experimental;experimental pop;freak folk;garage psych;indietronica;new wave;noise pop","billboard",NA,"edm, techno, house",1,0,1.56861903673172e-06
"3341","49vCIUW46QY3L5vo1xVFoy","Trae Tha Truth",56,212019,"dirty south rap;gangster rap;houston rap;rap;southern hip hop;trap","non_billboard",NA,"hip hop, rap",16,28587.2719201145,0.110818969342536
"3342","5WRElKaZsn1tGnrgmJVAeO","Cam",63,211798,"contemporary country;country","non_billboard",NA,"country",3,67567.8605462026,0.00516259443839549
"3343","7iZC2I6gz8gI0BLe2boBZR","Riccardo Cocciante",53,211714,"canzone d'autore;classic italian pop;italian adult pop","non_billboard",NA,"pop",1,0,0.000411927269294339
"3344","7DBsiQxsZAKC5lHoRCdOFG","Moonshine Bandits",57,211664,"country rap;redneck","non_billboard",NA,"country",1,0,5.68915600306561e-06
"3345","1qAuetfG6mhtDgsVIffWQc","Susan Boyle",58,211506,"operatic pop","billboard",89,"pop",14,144556.512630446,0.000487036939918216
"3346","1bpzpALZwOoKXzwMg2i8WB","Dirty South",54,211384,"australian dance;edm;electro house;house;pop dance;pop edm;progressive electro house;progressive house","non_billboard",NA,"edm, techno, house",8,50037.7782386796,0.0139677573872289
"3347","74IIqlVQQmvf04EHOI6yKh","Richard Cheese",52,211168,"comic;comic metal;jazz cover","non_billboard",NA,"jazz, soul, r&b",1,0,0.000272587279294683
"3348","23ymPLjbtAMzTJS2qRtQ8Z","Sébastien Tellier",54,211006,"alternative dance;downtempo;electronica;filter house;french indie pop;french indietronica;french synthpop;new rave","non_billboard",NA,"edm, techno, house",1,0,9.61599497997505e-07
"3349","65rDIPdQD7ijLSOq32cMXo","TK Kravitz",57,210940,"pop r&b","non_billboard",NA,"jazz, soul, r&b",2,0,0.0122096315171751
"3350","4kHtgiRnpmFIV5Tm4BIs8l","Sergei Prokofiev",60,210823,"classical;early modern classical;neoclassicism;russian modern classical","non_billboard",NA,"other/unknown",3,19576.3256497942,0.000330377106917887
"3351","0Wkm45quqfx3NepJpXDvwE","Superorganism",55,210818,"art pop","non_billboard",NA,"pop",2,1361.53331953313,0.000660969639686434
"3352","47rT8CoKTbr0S945AGgATQ","DigDat",59,210770,"uk drill;uk hip hop","non_billboard",NA,"hip hop, rap",1,0,0.0018243480256589
"3353","6TxY5T8v9RjF7Ry4XQvWT5","Chris Travis",57,210527,"dark trap;emo rap;memphis hip hop;underground hip hop;vapor trap","non_billboard",NA,"hip hop, rap",1,0,0.000149113116526679
"3354","3H6CaRooDAoCeRCpYwOXj2","Ramirez",69,210445,"dark trap;phonk;underground hip hop","non_billboard",NA,"hip hop, rap",2,0,0.000161502962801118
"3355","0Ttph0pOZiPNTD3y2wUUb6","Shanice",51,210396,"contemporary r&b;hip pop;new jack swing;quiet storm;r&b;urban contemporary","non_billboard",NA,"jazz, soul, r&b",1,0,1.61421377373683e-07
"3356","7eRXja3QOjiMWRgkd5dYwo","Big Smo",39,210394,"country rap;redneck","non_billboard",NA,"country",1,0,4.44141041814052e-05
"3357","0PDqlUGugF5Jt6DZyATvfz","Betty Wright",51,210192,"classic soul;funk;motown;quiet storm;soul;southern soul","non_billboard",NA,"jazz, soul, r&b",1,0,0.00971482569092616
"3358","1B0155rdv175D1tQ8VH7Oy","FEVER 333",58,209977,"la indie;modern rock;nu-metalcore","non_billboard",NA,"rock",3,4409.13809561015,0.00160995997162523
"3359","4wLIbcoqmqI4WZHDiBxeCB","Sleater-Kinney",49,209849,"alternative pop;alternative rock;anti-folk;indie pop;indie punk;indie rock;olympia wa indie;riot grrrl","billboard",NA,"rock",0,0,1.22558992036057e-18
"3360","0deIjoDjl9g9Zpw0sCIOHh","Valentino Khan",62,209562,"brostep;edm;electro house;electronic trap;moombahton","non_billboard",NA,"edm, techno, house",11,24228.021324029,0.0421856745105958
"3361","3RDl7kNfhB72Ojsc2qiyfy","Kindred The Family Soul",46,209458,"contemporary r&b;neo soul;quiet storm;r&b;urban contemporary","non_billboard",NA,"jazz, soul, r&b",1,0,0.000360766765153164
"3362","6fXEqmGQEt6ONuqVmwrN46","Bag Raiders",58,209278,"alternative dance;australian dance;filter house;indietronica;new rave;nu disco","non_billboard",NA,"edm, techno, house",1,0,5.43261639444035e-05
"3363","7rftfGIYEeZ79sLb58ZBDi","Gabrielle",64,209001,"british soul;dance pop;europop;new wave pop","non_billboard",NA,"jazz, soul, r&b",1,0,3.77703326077281e-08
"3364","2MuFzH1J5I6gGFYo2qhZmX","Ryn Weaver",60,208996,"electropop;indie poptimism","billboard",NA,"pop",0,0,1.22558992036057e-18
"3365","4D0WfOUqTzqKysXt33VL3j","Michel'le",48,208842,"contemporary r&b;new jack swing;quiet storm;r&b;urban contemporary","non_billboard",NA,"jazz, soul, r&b",1,0,0.00144979320751389
"3366","3nf2EaHj8HikLNdaiW3v73","Injury Reserve",57,208786,"alternative hip hop;conscious hip hop;escape room;hip hop;underground hip hop","non_billboard",NA,"hip hop, rap",2,1745.2173212546,0.000883599885523253
"3367","1qwVM2JnEMXbKgvZESGsRn","Leroy Sanchez",58,208643,"channel pop;viral pop","non_billboard",NA,"pop",1,0,0.00250965696032255
"3368","2qnpHrOzdmOo1S4ox3j17x","Turnstile",67,208521,"hardcore punk","billboard",60,"rock",2,248.613529092796,0.000128839182538508
"3369","0PxzGnCYBpSuaI49OR94cA","Big Wild",66,208329,"indie poptimism","non_billboard",NA,"pop",2,2718.3676931041,0.000225613241103829
"3370","0JOxt5QOwq0czoJxvSc5hS","GASHI",68,208246,"pop rap;trap soul","non_billboard",NA,"jazz, soul, r&b",6,33117.639031292,0.0410533654811659
"3371","3AVx3OBPIk4pJQllAXoVs1","Gaia",58,208107,"italian pop","non_billboard",NA,"pop",1,0,0.00358686826497458
"3372","3Qh89pgJeZq6d8uM1bTot3","Tobe Nwigwe",54,208009,"christian hip hop;houston rap","non_billboard",NA,"hip hop, rap",1,0,1.25461495908563e-06
"3373","0bfX8pF8kuHNCs57Ms4jZb","Roscoe Dash",64,208004,"atl hip hop;futuristic swag;pop rap;southern hip hop;trap","non_billboard",NA,"hip hop, rap",6,850.140761274824,0.0445758305937815
"3374","7IGcjaMGAtsvKBLQX26W4i","The Dillinger Escape Plan",48,207993,"alternative metal;american metalcore;mathcore;new jersey hardcore;new jersey punk","billboard",NA,"rock",0,0,1.22558992036057e-18
"3375","16QSVsPKl743hu4U5C18R8","Josh Garrels",61,207906,"acoustic pop;ccm;christian indie;indie folk;indiecoustica;indy indie;roots worship;stomp and holler;worship","non_billboard",NA,"pop",1,0,7.10914521862032e-05
"3376","6lO3fSdhsdpeOcrbqAJsRU","Aero Chord",57,207844,"bass trap;edm;electro house;gaming edm;traprun","non_billboard",NA,"edm, techno, house",2,11172.7224155724,0.0011100879113793
"3377","3F2Y683ovlWT53WKCeq0oj","Goodie Mob",52,207832,"alternative hip hop;atl hip hop;conscious hip hop;dirty south rap;gangster rap;hardcore hip hop;hip hop;old school atlanta hip hop;southern hip hop","non_billboard",NA,"hip hop, rap",1,0,0.00259053912452693
"3378","5nPz5R1FDPTMI3Dw4JnTGb","Exposé",49,207760,"freestyle;new wave pop","non_billboard",NA,"pop",1,0,9.63084205825411e-06
"3379","220xv2aB3dsGxaJI1gGs7l","Hotboii",69,207639,"florida rap;pop rap;trap","non_billboard",NA,"hip hop, rap",3,269.735241376229,0.0134390005320607
