"","album_type","album_release_date","album_release_year","danceability","energy","key","speechiness","valence","tempo","track_id","artists","duration_ms","track_name","track_number","album_name","mode_name","key_mode","artist_ids","track_popularity"
"22","album","2020-05-10",2020,0.59,0.729,7,0.0893,0.712,93.094,"5bmSver2b3ZXyuyLKtgnFI","Bad Bunny;Nicky Jam",202240,"BAD CON NICKY",6,"LAS QUE NO IBAN A SALIR","minor","G minor","4q3ewBCX7sLwd24euuV69X;1SupJlEpv7RS2tPNRaHViT",72
"23","album","2020-05-10",2020,0.828,0.581,11,0.0725,0.843,143.995,"2CoMYp2uIKsT09nreEZnZn","Bad Bunny",155060,"BENDICIONES",7,"LAS QUE NO IBAN A SALIR","major","B major","4q3ewBCX7sLwd24euuV69X",70
"24","album","2020-05-10",2020,0.813,0.616,3,0.0773,0.347,93,"6KFjMJJq8UZpfUyDgeH0Yl","Jhay Cortez;Bad Bunny",227120,"CÓMO SE SIENTE - Remix",8,"LAS QUE NO IBAN A SALIR","minor","D# minor","0EFisYRi20PTADoJrifHrz;4q3ewBCX7sLwd24euuV69X",0
"25","album","2020-05-10",2020,0.856,0.656,5,0.131,0.586,90.041,"3XZeOzJ9tqnu58YP6cqApI","Bad Bunny",150060,"RONCA FREESTYLE",9,"LAS QUE NO IBAN A SALIR","minor","F minor","4q3ewBCX7sLwd24euuV69X",67
"26","album","2020-05-10",2020,0.779,0.764,0,0.0938,0.675,158.093,"2DhNdoHxavs7Qtf5MnhZD0","Bad Bunny;Gabriela",176440,"EN CASITA",10,"LAS QUE NO IBAN A SALIR","major","C major","4q3ewBCX7sLwd24euuV69X;1A8aoDrchH5aefQYBCfpLv",65
"27","album","2020-02-29",2020,0.9,0.603,2,0.0646,0.824,129.928,"41wtwzCZkXwpnakmwJ239F","Bad Bunny",170971,"Si Veo a Tu Mamá",1,"YHLQMDLG","major","D major","4q3ewBCX7sLwd24euuV69X",84
"28","album","2020-02-29",2020,0.685,0.848,8,0.0858,0.761,179.87,"6NfrH0ANGmgBXyxgV2PeXt","Bad Bunny",163084,"La Difícil",2,"YHLQMDLG","minor","G# minor","4q3ewBCX7sLwd24euuV69X",81
"29","album","2020-02-29",2020,0.882,0.612,4,0.118,0.742,147.982,"75pQqzwgCjUOSSy5CpmAjy","Bad Bunny",160638,"Pero Ya No",3,"YHLQMDLG","major","E major","4q3ewBCX7sLwd24euuV69X",76
"30","album","2020-02-29",2020,0.744,0.868,1,0.047,0.586,93.037,"69vlMrzHwATKzupwNcUPyK","Bad Bunny;Daddy Yankee",206420,"La Santa",4,"YHLQMDLG","major","C# major","4q3ewBCX7sLwd24euuV69X;4VMYDCV2IEDYJArk749S6m",83
"31","album","2020-02-29",2020,0.86,0.758,11,0.0695,0.453,97.014,"0SqqAgdovOE24BzxIClpjw","Bad Bunny",172127,"Yo Perreo Sola",5,"YHLQMDLG","major","B major","4q3ewBCX7sLwd24euuV69X",80
"32","album","2020-02-29",2020,0.737,0.766,10,0.0458,0.662,93.956,"4j4w4CXm6BSr0s25wAWrrX","Bad Bunny;Yaviah",196500,"Bichiyal",6,"YHLQMDLG","minor","A# minor","4q3ewBCX7sLwd24euuV69X;0Y30TbA4p8SAfCzy2AFBa8",78
"33","album","2020-02-29",2020,0.71,0.81,2,0.0854,0.184,92.041,"7sOfmPd18RWp3FoCzpa7Kw","Bad Bunny",159282,"Soliá",7,"YHLQMDLG","major","D major","4q3ewBCX7sLwd24euuV69X",77
"34","album","2020-02-29",2020,0.762,0.801,1,0.0409,0.81,93.992,"5kqNIqFjijuzvVLhuY9B8j","Bad Bunny",136892,"La Zona",8,"YHLQMDLG","minor","C# minor","4q3ewBCX7sLwd24euuV69X",73
"35","album","2020-02-29",2020,0.802,0.787,7,0.0599,0.446,94.026,"53v2u51nq3CxiKUNphRzP1","Bad Bunny;Ñengo Flow",167975,"Que Malo",9,"YHLQMDLG","minor","G minor","4q3ewBCX7sLwd24euuV69X;12vb80Km0Ew53ABfJOepVz",76
