"","album_type","album_release_date","album_release_year","danceability","energy","key","speechiness","valence","tempo","track_id","artists","duration_ms","track_name","album_name","mode_name","key_mode","artist_ids","track_popularity"
"280","single","2019-05-17",2019,0.759,0.858,0,0.301,0.681,93.927,"5sKy3GQQxI76WzwQm4puy0","Sean Paul;J Balvin;Banx & Ranx",159250,"Contra La Pared - Banx & Ranx Remix","Contra La Pared (Banx & Ranx Remix)","major","C major","3Isy6kedDrgPYoTS1dazA9;1vyhD5VmyZ7KMfW5gqLgo5;2uFC1dAj5b0YU7vulKNZ0p",33
"281","single","2019-05-17",2019,0.788,0.621,2,0.181,0.299,102.08,"5KC83dKm2sXorAtG3bcGEC","Sean Paul;J Balvin;The Fanatix",190988,"Contra La Pared - The FaNaTiX Remix","Contra La Pared (The FaNaTiX Remix)","major","D major","3Isy6kedDrgPYoTS1dazA9;1vyhD5VmyZ7KMfW5gqLgo5;2grHJh787INC5e1gFxG3wg",18
"282","single","2019-05-17",2019,0.794,0.79,10,0.0599,0.577,91.984,"7rknFhrVDyxzTJkPSf7LoW","Jhay Cortez;J Balvin;Bad Bunny",307546,"No Me Conoce - Remix","No Me Conoce (Remix)","minor","A# minor","0EFisYRi20PTADoJrifHrz;1vyhD5VmyZ7KMfW5gqLgo5;4q3ewBCX7sLwd24euuV69X",78
"283","single","2019-05-16",2019,0.77,0.691,11,0.217,0.363,127.795,"3NbwRR74N1FykCWETcEk3j","Nicky Jam;J Balvin;Anuel AA;Arcangel",262500,"Ven y Hazlo Tú (feat. Arcángel)","Ven y Hazlo Tú (feat. Arcángel)","minor","B minor","1SupJlEpv7RS2tPNRaHViT;1vyhD5VmyZ7KMfW5gqLgo5;2R21vXR83lH98kGeO99Y66;4SsVbpTthjScTS7U2hmr1X",60
"284","single","2019-05-16",2019,0.762,0.695,11,0.229,0.374,128.052,"5lsttfyShVGIdbbBsy83xt","Nicky Jam;J Balvin;ArcangelAnuel",262500,"Ven Y Hazlo Tú","Ven Y Hazlo Tú","minor","B minor","1SupJlEpv7RS2tPNRaHViT;1vyhD5VmyZ7KMfW5gqLgo5;3z3SyXFsP2yZOab4AzbZde",38
"285","single","2019-05-10",2019,0.479,0.63,7,0.133,0.227,117.988,"01nRLdAEslhpOZsv4UFTjk","DJ Khaled;Meek Mill;J Balvin;Lil Baby;Jeremih",275275,"You Stay (feat. Meek Mill, J Balvin, Lil Baby & Jeremih)","You Stay (feat. Lil Baby & Jeremih)","minor","G minor","0QHgL1lAIqAw0HtD7YldmP;20sxb77xiYeusSH8cVdatc;1vyhD5VmyZ7KMfW5gqLgo5;5f7VJjfbwm532GiveGC0ZK;3KV3p5EY4AvKxOlhGHORLg",34
"286","single","2019-05-03",2019,0.728,0.784,0,0.0403,0.667,107.984,"2zsQ90bTE11M83WIbIZM9z","Sean Paul;J Balvin;Rynx",226998,"Contra La Pared - Rynx Remix","Contra La Pared (Rynx Remix)","major","C major","3Isy6kedDrgPYoTS1dazA9;1vyhD5VmyZ7KMfW5gqLgo5;3v2NAsnsViisa2k0CNolXW",39
"287","single","2019-05-02",2019,0.776,0.827,11,0.151,0.348,99.988,"7lVyUa4Ir5lX0HqiUvxOHM","GIMS;J Balvin",162013,"Pirate","Pirate","minor","B minor","0GOx72r5AAEKRGQFn3xqXK;1vyhD5VmyZ7KMfW5gqLgo5",13
"288","single","2019-04-25",2019,0.785,0.572,2,0.123,0.49,100.016,"7mWFF4gPADjTQjC97CgFVt","Ozuna;Daddy Yankee;J Balvin;Farruko;Anuel AA",235284,"Baila Baila Baila - Remix","Baila Baila Baila (Remix) [feat. Farruko, Anuel Aa]","major","D major","1i8SpTcr7yvPOmcqrbnVXY;4VMYDCV2IEDYJArk749S6m;1vyhD5VmyZ7KMfW5gqLgo5;329e4yvIujISKGKz1BZZbO;2R21vXR83lH98kGeO99Y66",77
"289","single","2019-04-19",2019,0.688,0.793,2,0.083,0.607,191.789,"1GejDZaQFo6vWH8uejXNk0","Sean Paul;J Balvin;Dom Da Bomb",210625,"Contra La Pared - Dom Da Bomb Remix","Contra La Pared (Dom Da Bomb Remix)","major","D major","3Isy6kedDrgPYoTS1dazA9;1vyhD5VmyZ7KMfW5gqLgo5;5yRQcUGG9sNL8Mo3z6JWAR",41
