"","id","name","popularity","followers.total","genres","type","total_num_songs"
"53","26VFTg2z8YR0cCuwLzESi2","Halsey",87,16239541,"dance pop;electropop;etherpop;indie poptimism;pop","billboard",221
"54","757aE44tKEUQEqRuT6GnEB","Roddy Ricch",84,6972401,"melodic rap;rap;trap","billboard",52
"55","3WrFJ7ztbogyGnTHbHJFl2","The Beatles",88,20884634,"beatlesque;british invasion;classic rock;merseybeat;psychedelic rock;rock","billboard",139
"56","4q3ewBCX7sLwd24euuV69X","Bad Bunny",98,38752498,"latin;reggaeton;trap latino","billboard",154
"57","4xFUf1FHVy696Q1JQZMTRj","Carrie Underwood",75,4820771,"contemporary country;country;country dawn;country road;oklahoma country;post-teen pop","billboard",280
"58","4fxd5Ee7UefO4CUXgwJ7IP","Giveon",85,1653464,"pop;r&b","billboard",45
"59","1dfeR4HaWDbWqFHLkxsg1d","Queen",88,37402156,"classic rock;glam rock;rock","billboard",802
"60","3PhoLpVuITZKcymswpck5b","Elton John",88,7984736,"glam rock;mellow gold;piano rock","billboard",1429
"61","7f4ignuCJhLXfZ9giKT7rH","NCT 127",77,4652411,"k-pop;k-pop boy group","billboard",224
"62","04gDigrS5kc9YWfZHwBETP","Maroon 5",89,33479847,"pop;pop rock","billboard",476
"63","6olE6TJLqED3rqDCT0FyPh","Nirvana",84,13811613,"alternative rock;grunge;permanent wave;rock","billboard",162
"64","4r63FhuTkUYltbVAg5TQnk","DaBaby",90,8253962,"north carolina hip hop;rap","billboard",205
"65","3fMbdgg4jU18AjLCKBhRSm","Michael Jackson",85,20262370,"pop;r&b;soul","billboard",397
"66","2lolQgalUvZDfp5vvVtTYV","Tony Bennett",69,683864,"adult standards;easy listening;lounge;vocal jazz","billboard",1045
"67","3tVQdUvClmAT7URs9V3rsp","WizKid",81,1105618,"afro dancehall;afropop;azonto;nigerian hip hop;nigerian pop","billboard",129
"68","7tYKF4w9nC0nq9CsPZTHyP","SZA",87,6355852,"pop;r&b;rap","billboard",115
"69","6AgTAQt8XS6jRWi4sX7w49","Polo G",90,5525192,"chicago rap","billboard",115
"70","6LuN9FCkKOj5PcnpouEgny","Khalid",89,14462024,"pop;pop r&b","billboard",124
"71","0ECwFtbIWEVNwjlrfc6xoL","Eagles",78,7225694,"album rock;classic rock;country rock;folk rock;heartland rock;mellow gold;rock;soft rock;yacht rock","billboard",74
"72","2cFrymmkijnjDg9SS92EPM","blackbear",85,4418589,"pop;pop rap","billboard",234
"73","45TgXXqMDdF8BkjA83OM7z","Rod Wave",79,2445491,"florida rap","billboard",153
"74","1RyvyyTE3xzB2ZywiAwp0i","Future",91,10743312,"atl hip hop;hip hop;pop rap;rap;southern hip hop;trap","billboard",755
"75","6Iz3eq2aQGFf7TbGT2iahL","Gabby Barrett",68,186434,"contemporary country","billboard",46
"76","329e4yvIujISKGKz1BZZbO","Farruko",92,11109574,"latin;reggaeton;trap latino","billboard",328
"77","3hcs9uc56yIGFCSy9leWe7","Lil Durk",89,3111284,"chicago drill;chicago rap;drill;hip hop;rap;trap","billboard",483
"78","4GNC7GD6oZMSxPGyXy4MNB","Lewis Capaldi",83,8751930,"pop;uk pop","billboard",63
"79","7bXgB6jMjp9ATFy66eO08Z","Chris Brown",90,14567526,"dance pop;pop;pop rap;r&b;rap","billboard",623
