"","id","name","popularity","followers.total","genres","type","total_num_songs","main_genre","degree","betweenness","eigenvector"
"34","4gzpq5DPGxSnKTe4SA8HAU","Coldplay",93,32321523,"permanent wave;pop","billboard",500,"pop",32,200177.920039544,0.0355963612331273
"35","4MCBfE4596Uoi2O4DtmEMz","Juice WRLD",93,20245183,"chicago rap;melodic rap","billboard",171,"hip hop, rap",52,112301.000073644,0.173598530990475
"36","2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar",90,18540706,"conscious hip hop;hip hop;rap;west coast rap","billboard",363,"hip hop, rap",108,1579923.2515756,0.368413436796065
"37","711MCceyCBcFnzjGY4Q7Un","AC/DC",84,21023516,"australian rock;hard rock;rock","billboard",217,"rock",0,0,0
"38","0du5cEVh5yTK9QJze8zA0C","Bruno Mars",90,34728198,"dance pop;pop","billboard",110,"pop",37,236267.191160381,0.0978525141415887
"39","0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke",89,7895044,"brooklyn drill","billboard",181,"other",57,126311.407679467,0.238998243239414
"40","08GQAI4eElDnROBrJRGE0X","Fleetwood Mac",83,7284774,"album rock;classic rock;mellow gold;rock;soft rock;yacht rock","billboard",445,"rock",0,0,0
"41","0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott",93,18729817,"rap;slap house","billboard",152,"edm, techno, house",112,807471.916297016,0.461905893014661
"42","4yvcSjfu4PC0CYQyLy4wSq","Glass Animals",86,2090047,"gauze pop;indietronica;shiver pop","billboard",168,"pop",27,282760.20175702,0.00910939207890062
"43","2ye2Wgw4gimLv2eAKyk1NB","Metallica",84,19301716,"hard rock;metal;old school thrash;rock;thrash metal","billboard",517,"rock",74,5226489.00076816,0.0165370792273989
"44","53XhwfbYqKCa1cC15pYq2q","Imagine Dragons",89,36316257,"modern rock;pop;rock","billboard",265,"rock",35,514679.592484141,0.0816891956011502
"45","4TMHGUX5WI7OOm53PqSDAT","Grateful Dead",70,1342565,"classic rock;cosmic american;country rock;double drumming;folk rock;jam band;psychedelic rock;rock","billboard",1166,"country",2,1,0
"46","0lAWpj5szCSwM4rUMHYmrr","Måneskin",88,4371503,"indie rock italiano;italian pop","billboard",34,"rock",3,1128.18805768118,5.00597291600009e-05
"47","3FfvYsEGaIb52QPXhg4DcH","Jason Aldean",78,4825341,"contemporary country;country;country road","billboard",296,"country",17,142628.032927788,0.0123365875735377
"48","278ZYwGhdK6QTzE3MFePnP","Trivium",69,1256022,"alternative metal;groove metal;melodic metalcore;melodic thrash;metal;metalcore;nu metal","billboard",196,"other",2,1,0
"49","5Zq7R5qmi58ByYyBQTlNuk","Lee Brice",73,1602685,"contemporary country;country;country road;modern country rock","billboard",87,"country",19,318151.291977137,0.00430924965686694
"50","02rd0anEWfMtF7iMku9uor","Reba McEntire",66,1485211,"contemporary country;country;country dawn;oklahoma country","billboard",545,"country",42,581630.618416414,0.00564174393288477
"51","7dGJo4pcD2V6oG8kP0tJRR","Eminem",93,48741545,"detroit hip hop;hip hop;rap","billboard",759,"hip hop, rap",103,1591105.53862031,0.227674502494727
"52","6zLBxLdl60ekBLpawtT63I","Cody Johnson",76,482881,"contemporary country;country road;texas country","billboard",117,"country",13,163890.071906657,0.000817387319418308
