"","id","name","popularity","followers.total","genres","type","total_num_songs"
"51","7Ks3elJhSP20mD04lgiA68","Devlin",51,160028,"grime;uk hip hop","non_billboard",NA
"52","7k9T7lZlHjRAM1bb0r9Rm3","Wiley",63,337583,"grime;house;uk dancehall;uk hip hop","non_billboard",NA
"53","6WjX4pepHwXa85B9KMk0PY","P Money",57,124255,"grime;uk hip hop","non_billboard",NA
"54","4IZLJdhHCqAvT4pjn8TLH5","Jme",63,393756,"grime;instrumental grime;uk hip hop","non_billboard",NA
"55","6zaXOYNFbclSYoBm2O4FiB","Mikill Pane",33,8146,"london rap","non_billboard",NA
"56","7zJL978NtANOysfGY21ty6","Ghetts",58,162384,"grime;uk alternative hip hop;uk hip hop","non_billboard",NA
"57","22RVM3QYYm9YI4TTteiKTV","Random Impulse",25,738,"grime","non_billboard",NA
"58","4Rrjd4f8oHN8Ehtr0GGItm","Sway",25,236,NA,"non_billboard",NA
"59","0T2sGLJKge2eaFmZJxX7sq","Wretch 32",60,290565,"grime;uk alternative hip hop;uk hip hop","non_billboard",NA
"60","3byZhxYIRTp15VjyckfstU","Zeph Ellis",35,20929,"grime","non_billboard",NA
"61","75VKfyoBlkmrJFDqo1o2VY","Fireboy DML",74,422547,"nigerian pop","non_billboard",NA
"62","0gWa2AiDlbvF24aqoLT2c1","LadBaby",61,22024,NA,"non_billboard",NA
"63","3EsjO0y0DE1GC453Sgyr7Z","FEDUK",65,858324,"russian alt pop;russian hip hop;russian pop;russian trap","non_billboard",NA
"64","55jryyk7RhvMbrvoF0ndBh","SLAVA MARLOW",67,1113875,"russian hip hop","non_billboard",NA
"65","61ipISvUVa5LkJlKZnm3Oo","Alle Farben",71,307248,"dance pop;deep euro house;deep house;edm;german dance;pop dance;pop rap;tropical house","non_billboard",NA
"66","1mFGfrveXbpolppPgO29Io","TCTS",58,18506,"deep groove house;house;pop dance;uk dance","non_billboard",NA
"67","64k5e9kV9MdukXjFrR5R37","Jessi",70,940275,"k-pop","non_billboard",NA
"68","6MoXcK2GyGg7FIyxPU5yW6","SUNMI",68,2416860,"k-pop","non_billboard",NA
